Point,Comment,Inspected,SiO2(Mass%),MgO(Mass%),Al2O3(Mass%),MnO(Mass%),FeO(Mass%),TiO2(Mass%),CaO(Mass%),Cr2O3(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),NiO(Mass%),Total(Mass%),SiO2(Norm%),MgO(Norm%),Al2O3(Norm%),MnO(Norm%),FeO(Norm%),TiO2(Norm%),CaO(Norm%),Cr2O3(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),NiO(Norm%),Total(Norm%),SiO2(Cation),MgO(Cation),Al2O3(Cation),MnO(Cation),FeO(Cation),TiO2(Cation),CaO(Cation),Cr2O3(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),NiO(Cation),Total(Cation),SiO2(mole%),MgO(mole%),Al2O3(mole%),MnO(mole%),FeO(mole%),TiO2(mole%),CaO(mole%),Cr2O3(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),NiO(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),MgO(K-ratio),Al2O3(K-ratio),MnO(K-ratio),FeO(K-ratio),TiO2(K-ratio),CaO(K-ratio),Cr2O3(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),NiO(K-ratio),Total(K-ratio),SiO2(K-raw),MgO(K-raw),Al2O3(K-raw),MnO(K-raw),FeO(K-raw),TiO2(K-raw),CaO(K-raw),Cr2O3(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),NiO(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),K(Net),Ca(Net),Ti(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Cr(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),K(BG-),Ca(BG-),Ti(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Cr(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),K(BG+),Ca(BG+),Ti(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Cr(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),K(L-value),Ca(L-value),Ti(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Cr(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),K(Error%),Ca(Error%),Ti(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Cr(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),K(D.L.),Ca(D.L.),Ti(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.),Cr(D.L.), ,Bi(Net),Ar(Net),Br(Net),As(Net)
1,AlmO_3R80_p3 Grid 001x001,AlmO_3R80_p3 Grid 001x001,38.44,8.88,22.03,1.86,26.15,0.0657,1.79,0.0406,0.0249,0,0.063,0,99.3442,38.6937,8.9386,22.1754,1.8723,26.3226,0.0661,1.8018,0.0409,0.0251,0,0.0634,0,100,5.962,2.054,4.027,0.244,3.392,0.0077,0.297,0.005,0.0075,0,0.0083,0,16.0045,42.6446,14.6853,14.4035,1.7479,24.262,0.0548,2.1278,0.0178,0.0268,0,0.0296,0,100,22.0734,-24.1594,10.3475,0,0,0,0,0,0,0,0,0,0,0,0,0,54.377,7.066,102.896,4.362,26.534,0.0628,7.18,0.0397,0.171,0,0.1187,0,202.8072,86,56770,174457.3,305130,0.7,47359.3,1466,192,-54.7,126937.3,7945.3,142,746.7,1539.3,2804,5024,1910,2583.3,4234.7,227.3,1500.7,1044,739.3,518.7,564,1112.7,1841.3,3152,1690,2337.3,3817.3,192.7,1305.3,891.3,540,416.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150,26.35,0.26,0.15,0.11,9933.03,0.29,4.05,7.85,100,0.17,0.74,14.04,10087.04,51,39,46,63,15,17,23,33,55,50,49,52,493,3466,2677.3,2340.7,1946.7
2,AlmO_3R80_p3 Grid 001x002,AlmO_3R80_p3 Grid 001x002,38.44,8.81,21.93,1.86,26.23,0.0658,1.78,0.035,0.0045,0,0.0511,0,99.2064,38.7475,8.8805,22.1054,1.8749,26.4398,0.0663,1.7942,0.0353,0.0045,0,0.0515,0,100,5.973,2.041,4.017,0.245,3.408,0.0077,0.296,0.0043,0.0014,0,0.0067,0,16.0001,42.7081,14.5912,14.3594,1.7505,24.3725,0.055,2.119,0.0154,0.0048,0,0.024,0,100,22.0734,-24.1581,10.3475,35.1779,7.005,19.22,1.8051,23.9521,0.0629,1.8375,0.0343,0.0036,0,0.0407,0,89.139,54.396,7.005,102.452,4.358,26.619,0.0629,7.141,0.0343,0.0308,0,0.0964,0,202.1954,15.3,56283.8,173704.2,305237.2,0.7,47105.9,1467.7,155.9,-48.6,127343.8,7939.4,122.6,798.1,1513,2793.5,4850.8,1893.4,2538.3,4140.6,222.5,1525,1004.7,732.2,525,580.3,1075.3,1840.1,3155.2,1716.9,2355.1,3737.5,194.5,1357.8,825.5,557.6,424.4,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150.1,146.1,0.26,0.15,0.11,9922.94,0.29,4,9.35,100,0.17,0.74,16.21,10200.32,52,39,46,63,15,17,23,32,56,49,50,52,494,3464.4,2676.2,2330.4,1939.4
3,AlmO_3R80_p3 Grid 001x003,AlmO_3R80_p3 Grid 001x003,38.57,8.89,21.97,1.89,26.19,0.0706,1.78,0.0268,0.011,0.0026,0.0575,0,99.4585,38.78,8.9384,22.0896,1.9003,26.3326,0.071,1.7897,0.0269,0.0111,0.0026,0.0578,0,100,5.975,2.054,4.012,0.248,3.393,0.0082,0.295,0.0033,0.0033,0.0005,0.0075,0,15.9998,42.7216,14.6787,14.3417,1.7733,24.261,0.0588,2.1126,0.0117,0.0118,0.0018,0.027,0,100,22.0734,-24.1568,10.3475,35.3027,7.074,19.257,1.8333,23.9143,0.0675,1.8334,0.0262,0.0088,0.0027,0.0458,0,89.3655,54.589,7.074,102.649,4.426,26.577,0.0675,7.125,0.0262,0.0756,0.0224,0.1084,0,202.7401,38,56832.7,174040,306321.3,68,46996.7,1574.7,175.3,-17.3,127142.7,8062,94,784,1563.3,2848,5072,1890.7,2570,4162,242.7,1546,995.3,758.7,539.3,577.3,1112,1863.3,3211.3,1599.3,2348.7,3638.7,192,1305.3,877.3,523.3,430.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150,59.66,0.26,0.15,0.11,53.51,0.3,3.73,8.58,100,0.17,0.73,21.1,248.3,52,39,46,64,14,17,23,33,56,50,50,53,497,3434,2654.7,2334,1956
4,AlmO_3R80_p3 Grid 001x004,AlmO_3R80_p3 Grid 001x004,38.53,8.89,21.99,1.88,26.15,0.0684,1.78,0.0429,0,0.002,0.0512,0.0057,99.3902,38.7664,8.9445,22.1249,1.8915,26.3104,0.0688,1.7909,0.0432,0,0.002,0.0515,0.0057,100,5.972,2.055,4.018,0.247,3.39,0.008,0.295,0.0053,0,0.0004,0.0067,0.0007,15.9981,42.7126,14.6909,14.3666,1.7653,24.244,0.057,2.1143,0.0188,0,0.0014,0.024,0.0051,100,22.0734,-24.1555,10.3475,35.2594,7.075,19.2695,1.8233,23.8801,0.0654,1.8349,0.042,0,0.0021,0.0407,0.0051,89.2975,54.522,7.075,102.716,4.402,26.539,0.0654,7.131,0.042,0,0.0174,0.0965,0.0111,202.6174,-2.7,56846.7,174152.7,305947.3,52.7,47040,1525.3,156,29.3,126961.3,8020,150.7,806.7,1481.3,2809.3,5010,1867.3,2532,4150.7,245.3,1473.3,1020.7,754.7,514.7,547.3,1086.7,1841.3,3194.7,1648,2291.3,3782.7,201.3,1294,861.3,593.3,400.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150,100,0.26,0.15,0.11,69.07,0.29,3.88,9.58,108.55,0.17,0.73,13.21,306,51,38,46,64,14,16,23,34,55,50,51,51,493,3466,2662,2342,1967.3
5,AlmO_3R80_p3 Grid 001x005,AlmO_3R80_p3 Grid 001x005,38.52,8.89,21.99,1.86,26.1,0.0654,1.79,0.0442,0.0106,0,0.0625,0,99.3327,38.7788,8.9497,22.1377,1.8725,26.2753,0.0658,1.802,0.0445,0.0107,0,0.0629,0,100,5.973,2.055,4.019,0.244,3.385,0.0076,0.297,0.0054,0.0032,0,0.0082,0,15.9974,42.7254,14.6991,14.3747,1.7475,24.2112,0.0546,2.1274,0.0194,0.0114,0,0.0293,0,100,22.0734,-24.1542,10.3475,35.2536,7.076,19.2729,1.8051,23.8351,0.0625,1.8472,0.0432,0.0084,0,0.0497,0,89.2537,54.513,7.076,102.734,4.358,26.489,0.0625,7.179,0.0432,0.0727,0,0.1178,0,202.6452,36.7,56850,174183.3,305894,-32,47351.3,1458,190.7,-22.7,126722,7938.7,154.7,800,1572,2856,5065.3,1953.3,2514,4314.7,218.7,1480.7,984,748,472.7,574,1044,1864.7,3182,1674.7,2340.7,3826,188,1330,864,514,392.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150,62.33,0.26,0.15,0.11,100,0.29,4.08,7.81,100,0.17,0.74,12.55,288.49,52,39,46,64,15,17,23,32,55,49,49,50,491,3462,2656,2363.3,1935.3
6,AlmO_3R80_p3 Grid 002x001,AlmO_3R80_p3 Grid 002x001,38.51,8.82,21.94,1.88,26.18,0.0691,1.78,0.0338,0.0069,0.003,0.0534,0,99.2762,38.7908,8.8843,22.1,1.8937,26.3709,0.0696,1.793,0.034,0.007,0.003,0.0538,0,100,5.978,2.04,4.015,0.247,3.399,0.0081,0.295,0.0042,0.0021,0.0006,0.007,0,15.996,42.7511,14.5959,14.3543,1.7678,24.3063,0.0577,2.1173,0.0148,0.0074,0.0021,0.0251,0,100,22.0747,-24.1594,10.3475,35.2458,7.011,19.2301,1.8229,23.9071,0.0661,1.8336,0.0331,0.0055,0.0031,0.0425,0,89.2008,54.501,7.011,102.506,4.401,26.569,0.0661,7.126,0.0331,0.0474,0.0257,0.1006,0,202.3869,23.8,56324.9,173797.5,305826.6,78.1,47004,1542,162.8,-2,127101.9,8017.2,118.5,755.1,1570.5,2698.9,4972.9,1880.2,2542.7,4131,231,1547.3,1034.4,741.9,563.2,564.5,1142.9,1851.8,3075.4,1612.8,2375.3,3772.3,201.2,1285.2,861.7,538,387.8,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.1,93,0.26,0.15,0.11,46.45,0.29,3.82,9.1,100,0.17,0.73,16.7,270.78,51,39,45,63,14,17,23,33,55,50,49,52,491,3446.1,2679,2336.2,1946.4
7,AlmO_3R80_p3 Grid 002x002,AlmO_3R80_p3 Grid 002x002,38.43,8.88,21.99,1.86,26.26,0.0636,1.76,0.0337,0.0087,0,0.0626,0,99.3486,38.682,8.9382,22.1342,1.8722,26.4322,0.064,1.7715,0.0339,0.0088,0,0.063,0,100,5.963,2.053,4.022,0.245,3.408,0.0074,0.293,0.0041,0.0026,0,0.0082,0,16.0063,42.6306,14.6843,14.3763,1.7477,24.3625,0.0531,2.092,0.0148,0.0094,0,0.0294,0,100,22.0747,-24.1581,10.3475,35.1624,7.057,19.2663,1.8101,23.9845,0.0608,1.822,0.033,0.0069,0,0.0498,0,89.2528,54.372,7.057,102.699,4.37,26.655,0.0608,7.081,0.033,0.0598,0,0.118,0,202.5056,30.5,56698.7,174125.2,305101.3,-0.7,46705.3,1418.5,190.7,-46.4,127517.9,7960.9,117.9,772.2,1560.3,2742.4,5040.4,1851.7,2606.6,4249.7,222.5,1537.1,1017.2,744.4,534.4,543.7,1096,1858.9,3151.7,1658.9,2320.5,3882.8,196,1314.6,884.8,577.5,421.9,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,73.75,0.26,0.15,0.11,100,0.3,4.18,7.85,100,0.17,0.73,16.83,304.33,51,39,46,63,14,17,23,32,56,50,50,52,493,3447.7,2653.6,2350.3,1909.9
8,AlmO_3R80_p3 Grid 002x003,AlmO_3R80_p3 Grid 002x003,38.38,8.85,22,1.88,26.27,0.0681,1.77,0.0375,0.0017,0.0003,0.0509,0.0031,99.3116,38.646,8.9113,22.1525,1.893,26.4521,0.0686,1.7823,0.0378,0.0017,0.0003,0.0513,0.0031,100,5.959,2.047,4.027,0.247,3.412,0.0079,0.295,0.0046,0.0005,0.0001,0.0067,0.0004,16.0072,42.602,14.6439,14.392,1.7676,24.3871,0.0568,2.1052,0.0165,0.0018,0.0002,0.0239,0.0028,100,22.0747,-24.1568,10.3475,35.1184,7.032,19.2793,1.8258,23.998,0.0651,1.8316,0.0367,0.0014,0.0003,0.0405,0.0028,89.2318,54.304,7.032,102.768,4.408,26.67,0.0651,7.118,0.0367,0.0117,0.0028,0.0959,0.0061,202.5183,6,56493.7,174240.6,304721,8.6,46950.3,1518.9,155.1,15.9,127589.1,8029.2,131.2,812.5,1554.7,2835,4954.9,1872.8,2579.2,4090.8,247.9,1514.9,993.4,756.1,504.3,558,1077.5,1830.3,3159.1,1697.2,2301.5,3851.6,212.1,1265.1,897.3,574.5,432.1,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150.9,382.27,0.26,0.15,0.11,428.35,0.29,3.88,9.71,198,0.17,0.73,15.08,1039,52,39,46,63,14,17,23,34,55,50,50,52,495,3448.6,2650.8,2380.4,1926.4
9,AlmO_3R80_p3 Grid 002x004,AlmO_3R80_p3 Grid 002x004,38.32,8.89,22,1.87,26.1,0.0677,1.77,0.0515,0.0218,0.0008,0.0617,0,99.1535,38.6471,8.9659,22.1878,1.886,26.3228,0.0683,1.7851,0.0519,0.022,0.0008,0.0622,0,100,5.955,2.059,4.031,0.247,3.392,0.0079,0.295,0.0063,0.0066,0.0002,0.0081,0,16.0081,42.594,14.7304,14.4118,1.7607,24.2627,0.0566,2.1081,0.0226,0.0235,0.0006,0.029,0,100,22.0747,-24.1555,10.3475,35.0499,7.07,19.2772,1.8204,23.8333,0.0647,1.8318,0.0504,0.0173,0.0009,0.0491,0,89.065,54.198,7.07,102.757,4.395,26.487,0.0647,7.119,0.0504,0.1495,0.007,0.1164,0,202.414,75.5,56806.6,174221.9,304128.5,21.2,46961.6,1510.6,188.1,-11.3,126709.9,8006.6,180.8,758.3,1552.3,2746.4,5017.2,1936.4,2579.5,4229.1,227.8,1557.6,987.4,772.2,492,551.7,1114.6,1872.8,3196.7,1690.1,2286.1,3809.9,184.8,1313.3,880.8,537.1,372.2,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,29.93,0.26,0.15,0.11,171.55,0.29,3.92,7.91,100,0.17,0.73,10.85,325.87,50,39,46,63,15,17,23,32,56,49,50,50,490,3445.7,2649,2342.4,1939.7
10,AlmO_3R80_p3 Grid 002x005,AlmO_3R80_p3 Grid 002x005,38.4,8.82,21.98,1.88,26.16,0.0665,1.78,0.0399,0.0053,0.003,0.0618,0.0069,99.2034,38.7084,8.8908,22.1565,1.8951,26.3701,0.067,1.7943,0.0402,0.0053,0.003,0.0623,0.007,100,5.966,2.044,4.025,0.247,3.399,0.0078,0.296,0.0049,0.0016,0.0006,0.0081,0.0009,16.0009,42.6741,14.6114,14.3957,1.7697,24.3134,0.0556,2.1196,0.0175,0.0057,0.0021,0.0291,0.0062,100,22.0747,-24.1542,10.3475,35.1307,7.017,19.2609,1.8217,23.89,0.0636,1.8341,0.0391,0.0042,0.0031,0.0492,0.0062,89.1198,54.323,7.017,102.67,4.398,26.55,0.0636,7.128,0.0391,0.0365,0.0255,0.1166,0.0134,202.3807,18.5,56376.2,174074.8,304830.5,77.5,47017.9,1482.8,188.1,35.8,127015.9,8012.6,140.4,721.8,1424.5,2801.3,4947.7,1868.2,2513.9,4265.6,234.4,1511.9,1058.3,778.2,531.8,586.8,1113.9,1794.7,3148.3,1636.4,2264.2,3742.4,176.8,1254.3,820.5,521.2,423.8,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,120.08,0.26,0.15,0.11,46.95,0.29,3.98,7.88,89.92,0.17,0.73,14.32,284.84,50,38,46,63,14,16,23,32,55,49,50,52,488,3465.6,2662.3,2358.9,1943.7
11,AlmO_3R80_p3 Grid 003x001,AlmO_3R80_p3 Grid 003x001,38.37,8.81,21.93,1.89,26.16,0.0675,1.78,0.0341,0.0074,0.002,0.0482,0,99.0992,38.7188,8.8901,22.1293,1.9072,26.3978,0.0681,1.7962,0.0344,0.0075,0.002,0.0486,0,100,5.968,2.042,4.022,0.249,3.404,0.0079,0.296,0.0042,0.0022,0.0004,0.0064,0,16.0021,42.6774,14.6074,14.3753,1.7807,24.3343,0.0565,2.1214,0.015,0.008,0.0014,0.0227,0,100,22.076,-24.1594,10.3475,35.1042,7,19.2191,1.8349,23.8927,0.0645,1.8357,0.0334,0.0059,0.0021,0.0384,0,89.0307,54.282,7,102.447,4.43,26.553,0.0645,7.134,0.0334,0.051,0.0169,0.0909,0,202.1027,25.8,56245,173696,304596,51,47054.3,1505.3,147,-30.5,127027.8,8070.2,119.9,797.3,1621.2,2707.9,4968.9,1880.8,2532.4,4239.1,219.2,1556.9,996,749.7,526.5,551.7,1092.7,1772.8,3106.6,1618.5,2294,3752.3,192.7,1270.2,851,587.4,417.9,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,87.31,0.26,0.15,0.11,70.62,0.29,3.92,9.77,100,0.17,0.73,16.54,289.87,51,39,45,63,14,16,23,32,55,49,50,52,489,3445,2646.4,2352.3,1932.4
12,AlmO_3R80_p3 Grid 003x002,AlmO_3R80_p3 Grid 003x002,38.37,8.84,22.05,1.87,26.14,0.0686,1.77,0.0366,0.0095,0.0014,0.062,0.0057,99.2238,38.6702,8.9092,22.2225,1.8846,26.3445,0.0691,1.7838,0.0369,0.0096,0.0014,0.0625,0.0057,100,5.959,2.046,4.036,0.247,3.395,0.008,0.295,0.0045,0.0029,0.0003,0.0081,0.0007,16.0025,42.6371,14.6433,14.4403,1.7601,24.2928,0.0573,2.1075,0.0161,0.0102,0.001,0.0292,0.0051,100,22.076,-24.1581,10.3475,35.1022,7.03,19.3243,1.8208,23.8747,0.0656,1.8313,0.0358,0.0075,0.0015,0.0493,0.0052,89.1482,54.279,7.03,103.008,4.396,26.533,0.0656,7.117,0.0358,0.0649,0.0123,0.1168,0.0112,202.6696,32.5,56483.4,174648.4,304582.8,37.1,46945,1531.1,188.7,29.8,126931.1,8008.6,128.5,764.9,1529.8,2849.7,5166.2,1908.6,2575.5,4311.9,218.5,1471.5,967.5,775.5,526.5,577.5,1099.3,1813.2,3114.6,1647.7,2281.5,3778.1,174.8,1318.5,868.9,548.3,424.5,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,68.67,0.26,0.15,0.11,97.78,0.29,3.88,7.75,108.01,0.17,0.73,15.51,303.31,51,39,46,64,14,16,23,31,55,49,50,52,490,3464.2,2670.2,2351,1933.8
13,AlmO_3R80_p3 Grid 003x003,AlmO_3R80_p3 Grid 003x003,38.34,8.89,21.99,1.88,26.16,0.0669,1.78,0.0411,0.0101,0.0033,0.0597,0,99.2211,38.641,8.9598,22.1626,1.8948,26.3654,0.0674,1.794,0.0414,0.0102,0.0033,0.0602,0,100,5.956,2.059,4.027,0.247,3.399,0.0078,0.297,0.005,0.003,0.0007,0.0078,0,16.0093,42.584,14.7192,14.3943,1.7687,24.3001,0.0559,2.1184,0.018,0.0109,0.0023,0.0281,0,100,22.076,-24.1568,10.3475,35.0699,7.071,19.2639,1.8233,23.89,0.064,1.84,0.0402,0.008,0.0034,0.0475,0,89.1213,54.229,7.071,102.686,4.402,26.55,0.064,7.151,0.0402,0.0693,0.0282,0.1125,0,202.4032,35.1,56807.3,174101.3,304303.3,85.4,47170.9,1492.7,181.5,-25.2,127013.9,8018.5,143.7,795.4,1539.7,2837.8,5069.5,1854.3,2581.5,4253.6,240.4,1503.3,1021.8,741.7,511.3,547,1085.4,1797.3,3084.1,1643.7,2310.6,3764.2,174.2,1316.6,874.8,534.4,417.9,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,64.39,0.26,0.15,0.11,42.5,0.29,3.96,8.15,100,0.17,0.73,13.81,234.52,51,39,46,63,14,17,23,32,55,50,49,52,491,3425.2,2664.9,2358.9,1935.1
14,AlmO_3R80_p3 Grid 003x004,AlmO_3R80_p3 Grid 003x004,38.48,8.87,22.03,1.86,26.06,0.0699,1.77,0.0444,0,0,0.0592,0,99.2435,38.7733,8.9376,22.1979,1.8742,26.2586,0.0704,1.7835,0.0447,0,0,0.0597,0,100,5.97,2.05,4.029,0.245,3.382,0.0082,0.295,0.0054,0,0,0.0078,0,15.9924,42.7329,14.6839,14.4183,1.7496,24.2034,0.0584,2.1062,0.0195,0,0,0.0278,0,100,22.076,-24.1555,10.3475,35.2089,7.055,19.3151,1.8092,23.7973,0.0668,1.8308,0.0434,0,0,0.0471,0,89.1737,54.444,7.055,102.959,4.368,26.447,0.0668,7.115,0.0434,0,0,0.1116,0,202.6098,-6,56684.1,174564.2,305506.6,-2.7,46932.4,1559.6,180.1,-33.1,126523.2,7957.6,155.6,785.4,1588.1,2842.4,4896.7,1918.5,2589.4,4151,205.3,1538.4,976.2,721.8,502,572.8,1090.1,1782.8,3065.6,1715.9,2323.2,3802.6,192.7,1360.3,863.6,560.3,382.1,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,100,0.26,0.15,0.11,100,0.29,3.79,8.09,100,0.17,0.73,12.56,326.15,51,39,46,62,15,17,23,32,56,49,49,50,489,3442.4,2679.5,2327.8,1936.4
15,AlmO_3R80_p3 Grid 003x005,AlmO_3R80_p3 Grid 003x005,38.52,8.87,22.04,1.87,26.07,0.0678,1.77,0.0479,0.0018,0.0035,0.05,0,99.311,38.7872,8.9315,22.1929,1.883,26.2509,0.0683,1.7823,0.0482,0.0018,0.0035,0.0503,0,100,5.972,2.05,4.029,0.246,3.381,0.0079,0.294,0.0059,0.0005,0.0007,0.0066,0,15.9936,42.7476,14.6737,14.4148,1.7578,24.1959,0.0566,2.1047,0.021,0.0019,0.0025,0.0235,0,100,22.076,-24.1542,10.3475,35.2432,7.059,19.3247,1.82,23.8054,0.0648,1.8267,0.0469,0.0014,0.0036,0.0398,0,89.2355,54.497,7.059,103.01,4.394,26.456,0.0648,7.099,0.0469,0.0124,0.0299,0.0943,0,202.7633,6,56715.2,174651,305804,90.7,46825.8,1512.6,152.3,-4,126563.6,8004.6,168.2,835.1,1552.3,2828.5,5007.3,1864.2,2649,4161.6,244.4,1439.7,1052.3,720.5,496.7,548.3,1057.6,1857.6,3036.4,1631.8,2330.5,3810.6,200.7,1313.3,896,553,416.6,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,361.7,0.26,0.15,0.11,40.1,0.29,3.9,9.73,100,0.17,0.73,11.86,529,52,39,46,63,14,17,23,33,55,50,49,51,492,3456.9,2647,2313.3,1937.8
16,AlmO_3R80_p3 Grid 004x001,AlmO_3R80_p3 Grid 004x001,38.56,8.87,22.05,1.88,26.08,0.0669,1.78,0.0344,0.0128,0.0001,0.0513,0.0082,99.3937,38.7952,8.9241,22.1845,1.8915,26.2391,0.0673,1.7909,0.0346,0.0129,0.0001,0.0516,0.0083,100,5.975,2.048,4.027,0.247,3.379,0.0078,0.296,0.0042,0.0038,0,0.0067,0.001,15.9955,42.7526,14.6601,14.4081,1.7656,24.1829,0.0558,2.1147,0.0151,0.0138,0.0001,0.0241,0.0073,100,22.0773,-24.1594,10.3475,35.2846,7.055,19.3284,1.825,23.809,0.0639,1.8382,0.0337,0.0101,0.0001,0.0408,0.0073,89.2962,54.561,7.055,103.03,4.406,26.46,0.0639,7.144,0.0337,0.0875,0.0006,0.0966,0.0159,202.9542,44.4,56679.9,174684.6,306165.7,2,47126.6,1490.4,156.4,42.4,126583.2,8027.2,120.6,781.3,1548.7,2742.9,5057,1959.6,2565.3,4169,249.2,1497.7,1011.3,738.9,505,591.8,1122.6,1824.4,3148.4,1664,2311.5,3851.6,185.6,1282.3,847.6,543.4,402.9,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,150.9,51.7,0.26,0.15,0.11,1988.67,0.29,3.97,9.44,76.09,0.17,0.73,16.11,2147.69,52,39,45,63,15,17,23,33,55,49,49,51,491,3467.2,2666,2360.5,1935.7
17,AlmO_3R80_p3 Grid 004x002,AlmO_3R80_p3 Grid 004x002,38.51,8.84,22,1.87,26.16,0.0668,1.78,0.0325,0,0,0.0554,0.003,99.3177,38.7746,8.9007,22.1511,1.8828,26.3397,0.0673,1.7922,0.0327,0,0,0.0558,0.003,100,5.973,2.044,4.022,0.246,3.394,0.0078,0.295,0.004,0,0,0.0073,0.0004,15.9935,42.7357,14.6238,14.3884,1.7578,24.279,0.0558,2.1166,0.0143,0,0,0.026,0.0027,100,22.0773,-24.1581,10.3475,35.238,7.032,19.2819,1.8163,23.8891,0.0639,1.8352,0.0318,0,0,0.0441,0.0027,89.235,54.489,7.032,102.782,4.385,26.549,0.0639,7.132,0.0318,0,0,0.1045,0.0059,202.5751,-6.6,56501.3,174264.9,305758.3,-35.8,47047,1491.4,168.9,15.9,127007.3,7988.7,113.9,807.3,1573.5,2825.2,5025.2,1930.5,2557.6,4251.7,232.4,1546.4,1015.2,735.8,518.5,573.5,1095.4,1879.5,3154.3,1702,2285.4,3778.8,192.1,1284.1,935.8,570.9,405.3,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,100,0.26,0.15,0.11,100,0.29,3.96,8.75,204.48,0.17,0.73,17.13,436.03,52,39,46,63,15,16,23,33,56,50,50,51,494,3442.4,2667.6,2339.7,1940.4
18,AlmO_3R80_p3 Grid 004x003,AlmO_3R80_p3 Grid 004x003,38.42,8.84,22.04,1.87,26.07,0.0681,1.78,0.046,0.0084,0,0.0567,0,99.1992,38.7301,8.9114,22.2179,1.8851,26.2805,0.0686,1.7944,0.0464,0.0085,0,0.0572,0,100,5.965,2.046,4.034,0.247,3.386,0.008,0.296,0.0056,0.0025,0,0.0074,0,15.9975,42.697,14.6448,14.4352,1.7603,24.2302,0.0569,2.1196,0.0202,0.0091,0,0.0267,0,100,22.0773,-24.1568,10.3475,35.1462,7.032,19.3209,1.8204,23.8063,0.0651,1.8377,0.045,0.0067,0,0.0451,0,89.1255,54.347,7.032,102.99,4.395,26.457,0.0651,7.142,0.045,0.0576,0,0.1068,0,202.6375,29.1,56496,174617.9,304964.3,-34.4,47109.3,1517.9,172.9,-4.6,126570.9,8006.6,160.9,767.5,1584.1,2911.9,5124.5,1982.1,2578.8,4157.6,236.4,1553,998,749.7,496,542.4,1057.6,1832.4,3091.4,1658.3,2247.7,3751.7,190.7,1317.9,858.9,544.4,396.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151,76.35,0.26,0.15,0.11,100,0.29,3.87,8.6,100,0.17,0.73,12.22,302.75,50,39,46,63,15,16,23,33,56,49,50,51,491,3436.4,2673.5,2320.5,1931.8
